user_id,kyc_speed_sec,account_age_days,is_high_risk_career,is_high_risk_income,career_income_risk,career_freq,is_app_user,reg_hour,reg_is_night,reg_is_weekend,reg_to_kyc1_days,twd_dep_count,twd_dep_sum,twd_dep_mean,twd_dep_std,twd_dep_max,twd_wit_count,twd_wit_std,twd_wit_max,twd_net_flow,twd_withdraw_ratio,twd_smurf_flag,twd_wit_ip_ratio,crypto_dep_count,crypto_dep_mean,crypto_dep_max,crypto_wit_count,crypto_wit_sum,crypto_wit_mean,crypto_wit_max,crypto_currency_diversity,crypto_protocol_diversity,crypto_wallet_hash_nunique,crypto_internal_count,crypto_internal_peer_count,crypto_wit_ip_ratio,trading_mean,trading_max,trading_buy_ratio,trading_market_order_ratio,swap_count,swap_sum,ip_unique_count,ip_night_ratio,ip_max_shared,fund_stay_sec,pagerank_score,connected_component_size,total_tx_count,first_to_last_tx_days,weekend_tx_ratio,dep_to_first_wit_hours,twd_to_crypto_out_ratio,tx_amount_cv,rapid_kyc_then_trade,crypto_out_in_ratio,same_day_in_out_count,tx_interval_mean,tx_interval_std,tx_interval_min,tx_interval_median,amount_p90_p10_ratio,active_days,w_tox_max,w_tox_mean,w_tox_std,toxic_w_ratio,toxic_w_count,ip_tox_max,relation_blacklist_ratio,relation_blacklist_count,neighbor_tox_mean,neighbor_tox_max,toxic_neighbor_count,n_neighbors,if_score,hbos_score,lof_score
112902,-0.13049671,-0.17037335,-0.044606674,0.0050486894,-0.003947264,0.3821106,-0.03864279,0.02472105,0.0071365014,-0.02960402,-6.3672087e-06,0.020353945,0.045292504,0.08053152,0.009806374,0.0063125626,0.02336233,0.004549244,0.43195313,0.25036147,0.14356361,0.0,0.0035935969,-0.03418632,0.05382849,0.0845686,-0.0057099652,-0.015709057,-0.007947922,-0.017436907,-0.0151618635,-0.0029414066,-0.008182922,0.00050742243,-0.0012051952,0.00047912894,0.055173855,0.11465257,0.08625788,-0.024159323,-0.04657087,-0.17713796,-0.010484821,0.051802363,0.0039500315,0.18089123,0.00017231681,-0.0021987204,-0.01070845,0.07723967,-0.4455818,0.061796397,0.2729717,0.00987796,0.0,0.014231014,-0.006280342,0.06304912,0.025934601,-0.0048873024,0.32345754,-0.042071622,-0.0049940636,-0.09419721,-0.25943008,-0.036559485,-0.02253201,-0.008119131,-0.022389134,-0.00037420364,-0.0001133644,-0.43940344,-0.02534641,-0.013705886,0.033951797,0.12412681,0.14887674,0.042503323
112912,0.054536942,-0.13716021,-0.038475167,0.0035613328,-0.0052032704,0.33162543,0.013009758,0.06200961,0.0060609113,-0.035383347,6.606395e-06,-0.060758602,-0.011522273,-0.00557617,0.00882127,0.003249661,0.0060721077,0.0034586738,-0.046893965,-0.14124592,0.020452047,0.0,-4.8052338e-05,-0.030926993,0.05073833,0.06455789,-0.005768255,-0.01665391,-0.022427633,-0.004867543,0.0055850935,-0.0003024514,0.019194108,0.0001580294,-0.000969548,-0.0010004796,0.039779652,0.01817873,0.034560602,0.23803799,-0.018219745,-0.07241347,-0.014497719,0.03140411,0.0019969149,-0.03680976,8.2936385e-05,-0.0021033522,-0.03493759,-0.059013776,0.1302427,-0.0075218272,0.3397742,-0.056991037,0.0,-0.003037504,-0.0068508834,0.057141464,-0.01180379,0.009484265,0.02188748,0.034978025,-0.014761146,-0.09058609,1.3558614,0.014060962,-0.028755885,-0.014913119,-0.01905454,-0.0005125043,-7.5694894e-05,-0.44532973,-0.1245488,0.0056490777,-0.010405837,-0.0764814,-0.06291301,0.074929535
112997,-0.14137587,-0.17608805,-0.02683583,0.0060547153,-0.0012924062,-0.070377894,-0.04284042,-0.019397084,0.0031372353,-0.036355566,-1.3778696e-05,0.014560733,0.10420536,0.011208124,0.01046124,0.0068020867,0.001773017,-0.011689735,0.0860402,0.005680551,-0.014862187,0.0,-0.00057550205,0.029021578,-0.11765396,-0.24522878,0.02089295,0.03609088,0.004032837,-0.03877659,-0.0029533359,-0.0015760965,-0.04270888,-0.0008142749,-0.0016273045,-0.0007929061,0.0079472605,-0.054639902,0.013033701,-0.018878497,-0.014297854,-0.064252414,-0.010520492,0.043934375,0.008509838,0.014980681,-0.0012147236,-0.003480652,0.03503852,-0.024282066,0.033644967,0.0069313487,0.0060823187,-0.009500066,0.0,-0.026661566,0.017223978,-0.0361782,-0.042528935,0.03777873,-0.40948594,-0.046725333,-0.0056065917,3.6363018,0.31245035,0.052212838,-0.0008373599,0.006022076,-0.013757975,-0.00031621536,-7.8287805e-05,0.73072875,0.089308925,0.01740116,-0.016821273,0.08016763,0.10957389,0.018760845
113073,0.108109266,-0.05430936,-0.00019358359,0.011344951,-0.0009530495,0.29759973,-0.05360569,-0.048739813,0.002277099,-0.039660335,-8.325037e-05,-0.011388342,-0.0799824,-0.035678897,-0.004417821,-0.016683463,0.0067662788,0.0031025014,0.1500353,0.061260864,-0.08711208,0.0,-0.0027038509,0.002626007,-0.10437484,-0.22334298,0.0021091215,-0.04268868,-0.021573532,-0.042090368,-0.009479557,-0.0032953836,-0.027435219,9.8573386e-05,-0.000960698,0.007502006,-0.0104822945,0.0003623707,-0.022261715,-0.014288067,0.047967393,0.31371918,0.0192932,-0.1705078,0.044892702,-0.027953278,-0.000878722,-0.0024991792,-0.04920143,-0.0071407515,0.05752036,0.004734796,-0.117104545,-0.013173306,0.0,0.008092759,-0.0036467717,-0.045181416,-0.026167125,0.04120423,0.25792277,-0.032255433,-0.03180804,-0.48233256,0.22161515,0.22113788,-0.031908363,-0.011001709,0.004909355,-0.00039852122,-0.00015026383,0.74190784,0.049631465,-0.09581828,-0.0633525,0.11459325,-0.030008893,-0.007977059
113253,-0.079098776,-0.13459796,-0.027854854,0.0066768127,-0.0019074953,-0.005325892,0.014799485,-0.29276112,-0.04865486,-0.036340103,-3.284638e-05,0.0019319891,-0.13829176,-0.058007352,-0.0058774394,-0.024674801,0.003053258,0.0004953681,-0.041745547,-0.16756536,0.008504045,0.0,0.0020611747,0.0052033565,-0.008933918,0.019944811,0.012299038,-0.09384197,-0.06215324,-0.05751544,0.0024080768,0.008808809,-0.05131848,-0.000102707665,-0.00096060015,-0.0013901067,-0.055153564,-0.051610563,-0.04217183,-0.014420461,-0.013278117,-0.06443201,-0.013727686,-0.080818415,-0.004455669,-0.007817492,-0.0006833657,-0.0025042454,0.046741646,-0.03810448,-0.16498002,0.012915344,-0.10780006,-0.027659385,0.0,-0.07345837,0.0067349477,0.001200698,-0.021290576,0.012585058,-0.3366465,-0.015254691,0.008410634,3.7560441,0.33643976,0.05547601,-0.0022783447,0.0070951316,-0.016043572,-0.00030715283,-7.6949014e-05,0.6602335,0.09152763,0.030295566,-0.026653036,0.01229287,0.059631504,-0.06784696
113258,0.056641,-0.055452067,0.13949245,0.008885238,-0.001281027,-0.023256045,-0.058651105,0.015221986,0.0051763295,-0.039945822,-2.3030614e-05,-0.004610359,-0.03338494,-0.021682573,-0.0020207001,-0.005631842,0.011396304,0.010011002,0.3394008,0.14145216,0.026332002,0.0,0.0025426336,0.0014475986,-0.2901501,-0.24834102,-0.008290742,-0.02542222,-0.0053708577,-0.021778459,0.0057876892,0.0024163595,-0.0025187808,0.00028169947,-0.0012297845,0.0005857175,0.019319667,0.15212704,-0.056620754,-0.020098172,-0.036809906,-0.14383999,0.013611262,0.051546384,-0.020289533,-0.03712183,-0.00054751395,-0.0024527076,-0.01684109,0.048723772,0.062337633,0.0050652516,-0.12149431,-0.068177864,0.0,0.004356408,-0.005775862,0.056531146,-0.051333494,0.13370217,0.29658225,-0.032542165,-0.017592348,-0.108323455,0.16252977,0.015278638,-0.020994375,-0.008963548,-0.022054343,-0.00046809844,-0.000110173874,-0.55636716,0.023494123,0.014081658,0.08234432,0.1564632,0.18823826,0.0033546828
113262,0.13478908,-0.06908971,-0.018927464,0.007857631,-0.0008963643,-0.014062901,0.013344763,0.027495565,0.0028892187,-0.04965706,-0.00056293263,-0.0055948882,-0.16185759,-0.18649602,-0.009772174,-0.06916375,0.00678775,0.0047873235,-0.04746905,-0.0013149193,0.012974993,0.0,0.0008969726,-0.02756893,-0.1913503,-0.11619467,0.005736363,-0.14380321,-0.058906052,-0.025712084,0.0016779999,0.00028626926,-0.055754833,-0.024934094,0.025426561,-0.0016412087,-0.07479957,-0.024829341,-0.021084046,-0.018266259,-0.008310323,-0.059895016,-0.012265258,0.025737839,-0.015564581,-0.009685883,-0.0012723221,0.13348466,-0.13651134,-0.047303554,0.027219899,0.021019515,-0.13530666,-0.0692108,0.0,-0.037605483,-0.0013057882,-0.122699544,-0.17318773,-0.09556432,0.028366875,-0.0153134065,-0.022800354,-0.26798037,0.27530405,0.06453031,0.0097108865,0.026391609,-0.013371802,-0.00094469415,-0.0001759184,0.56724316,0.04955541,-0.021376267,-0.085406944,0.06268795,-0.0025272304,-0.107370734
113317,0.025444886,-0.06688904,0.066471525,0.0075583225,-0.001017577,-0.043147802,0.011819062,-0.2580967,-0.048596263,-0.039640803,-7.9723e-05,-0.01847778,-0.07837323,-0.08305192,-0.00455507,-0.017120661,0.005995464,-0.03375393,0.14285596,0.009121175,-0.004509767,0.0,-0.00018991377,0.048202373,-0.10041737,-0.24838063,-0.02185843,0.0013826079,-0.035548862,0.0265192,-0.0046693576,-0.013468256,-0.0069269035,-0.030315595,-0.018988792,-0.0014172703,-0.04265872,-0.0357098,-0.072913066,-0.019426465,-0.0129642105,-0.06352449,-0.0077612763,0.043993976,0.007135809,0.1008485,0.0005300478,-0.0043782643,0.015964907,-0.054559704,0.018355416,0.009493255,-0.11549093,-0.07931366,0.0,-0.027083464,0.025363363,0.07880701,-0.018519942,-0.062147494,0.2335091,-0.073787786,0.05041314,3.4886832,-0.21820273,0.03687078,-0.005741212,0.006794543,-0.01625326,-0.00037287915,-0.00016624114,-0.37085608,0.05478317,0.031099629,-0.014179795,0.15604387,0.17230785,-0.023806402
113321,-0.046775043,-0.2103024,-0.02441663,0.010499747,-0.0007165374,-0.25284758,0.018463466,-0.009410037,0.0032746973,-0.038178965,-9.0634276e-05,-0.013643319,-0.07384179,-0.033633254,-0.003196178,-0.01698483,0.0022871916,0.0029202078,-0.05982309,0.026327513,-0.009969685,0.0,-0.00031908962,0.0041883048,-0.22081202,-0.1453433,-0.015425538,-0.06712627,0.006938371,0.010406726,0.001607036,0.00034014002,-0.02496526,-0.00014272843,-0.001264921,-0.001612755,0.015672179,0.0078035556,-0.0019118418,-0.012546932,-0.027056424,-0.098925844,0.004676489,0.02152984,-0.065837674,0.053238995,-0.0005181527,-0.002466847,-0.049501847,0.005898722,0.050424825,0.009709163,-0.07284784,-0.022267789,0.0,-0.0008029454,-0.0058030374,0.0023338909,0.07253089,-0.029391104,0.110995494,0.022080002,-0.02671614,3.5435293,0.20879617,0.19060467,0.0017478466,0.005529913,-0.016052626,-0.000326686,-0.00014131752,0.7154739,0.0815024,0.026088657,-0.032747608,-0.15441364,-0.07514311,-0.039579142
113322,-0.06349632,-0.07253309,-0.011931871,0.010962218,-0.001246861,0.07756221,0.016051445,-0.027610853,0.0054229,-0.064596154,-0.00031593814,-0.007621163,-0.059405077,-0.041431993,-0.0046530045,0.0010594308,0.010445397,0.0030005833,-0.09883749,0.057794116,-0.0023405438,0.0,-0.0002883207,0.07578166,0.0512243,-0.16997775,-0.02707691,-0.058842342,-0.018837923,-0.029488556,-0.009225957,-0.020752206,-0.03285356,4.9110313e-05,-0.0008757924,-0.0029876654,-0.13440457,-0.12514013,-0.056961518,-0.025627283,-0.019710176,-0.07344218,-0.00061189046,0.040584378,-0.015127126,-0.023893507,-0.0009304108,-0.002699291,0.027308535,-0.041337404,0.095005475,0.015299785,-0.09328364,-0.08002579,0.0,-0.0160001,0.0231233,0.059846804,-0.113510445,0.023010217,0.22652215,-0.059669033,0.08893293,1.0738976,-0.21639866,0.013661228,-0.027013231,-0.011436386,-0.015139905,-0.00038229488,-0.00016386274,-0.47211707,0.08855734,-0.013540012,-0.049885333,0.08841655,0.1467912,-0.12286123
